Subject,Start,End,Location,Status
Advisor Meet,2024-03-11T09:00-04:00[America/New_York],2024-03-11T09:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-11T10:00-04:00[America/New_York],2024-03-11T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-03-12T14:00-04:00[America/New_York],2024-03-12T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-13T10:00-04:00[America/New_York],2024-03-13T12:00-04:00[America/New_York],,PUBLIC
Midterm Day,2024-03-14T00:00-04:00[America/New_York],2024-03-15T00:00-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-14T10:00-04:00[America/New_York],2024-03-14T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-03-14T14:00-04:00[America/New_York],2024-03-14T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-18T10:00-04:00[America/New_York],2024-03-18T12:00-04:00[America/New_York],,PUBLIC
Paris Brief,2024-03-19T09:00+01:00[Europe/Paris],2024-03-19T09:20+01:00[Europe/Paris],,PUBLIC
labs-cs5010,2024-03-19T14:00-04:00[America/New_York],2024-03-19T15:30-04:00[America/New_York],,PUBLIC
Advisor Meet,2024-03-20T09:00-04:00[America/New_York],2024-03-20T09:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-20T10:00-04:00[America/New_York],2024-03-20T12:00-04:00[America/New_York],,PUBLIC
Paris Brief,2024-03-21T09:00+01:00[Europe/Paris],2024-03-21T09:20+01:00[Europe/Paris],,PUBLIC
office-hours-cs5010,2024-03-21T10:00-04:00[America/New_York],2024-03-21T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-03-21T14:00-04:00[America/New_York],2024-03-21T15:30-04:00[America/New_York],,PUBLIC
Advisor Meet,2024-03-25T09:00-04:00[America/New_York],2024-03-25T09:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-25T10:00-04:00[America/New_York],2024-03-25T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-03-26T14:00-04:00[America/New_York],2024-03-26T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-27T10:00-04:00[America/New_York],2024-03-27T12:00-04:00[America/New_York],,PUBLIC
Midterm Day,2024-03-28T00:00-04:00[America/New_York],2024-03-29T00:00-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-03-28T10:00-04:00[America/New_York],2024-03-28T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-03-28T14:00-04:00[America/New_York],2024-03-28T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-08T10:00-04:00[America/New_York],2024-04-08T12:00-04:00[America/New_York],,PUBLIC
Advisor Meet,2024-04-10T09:00-04:00[America/New_York],2024-04-10T09:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-10T10:00-04:00[America/New_York],2024-04-10T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-04-11T14:00-04:00[America/New_York],2024-04-11T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-12T10:00-04:00[America/New_York],2024-04-12T12:00-04:00[America/New_York],,PUBLIC
Midterm Day,2024-04-13T00:00-04:00[America/New_York],2024-04-14T00:00-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-13T10:00-04:00[America/New_York],2024-04-13T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-04-13T14:00-04:00[America/New_York],2024-04-13T15:30-04:00[America/New_York],,PUBLIC
Midterm Day,2024-04-15T00:00-04:00[America/New_York],2024-04-16T00:00-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-15T10:00-04:00[America/New_York],2024-04-15T12:00-04:00[America/New_York],,PUBLIC
labs-cs5010,2024-04-15T14:00-04:00[America/New_York],2024-04-15T15:30-04:00[America/New_York],,PUBLIC
office-hours-cs5010,2024-04-17T10:00-04:00[America/New_York],2024-04-17T12:00-04:00[America/New_York],,PUBLIC
